#GIR
DON4,DON3
DEV4,DEV3
TEX5,ETE6
ETE6,TEX5
ETE6,VEI5 #ATTENTION APPARAIT DANS CHAQUE SECTION
#G
SYSG4,DEV3
LPDG4,DON4
ATLG4,ATLG3
ETEG6,PRJG5 #ATTENTION APPARAIT DANS CHAQUE SECTION
ETEG6,MOBG5 #ATTENTION APPARAIT DANS CHAQUE SECTION
ETEG6,WEBG5 #ATTENTION APPARAIT DANS CHAQUE SECTION
ETEG6,DONG5 #ATTENTION APPARAIT DANS CHAQUE SECTION
ORGG5,ERPG5
ORGG5,SYSG5
#IR
SYSIR3,DEV3
ETE6,ORGIR5 #ATTENTION APPARAIT DANS CHAQUE SECTION
ETE6,ANLIR5 #ATTENTION APPARAIT DANS CHAQUE SECTION
ETE6,ATLIR5 #ATTENTION APPARAIT DANS CHAQUE SECTION
#I
RLII4,AUTI3 
ELII5,RB1I5
IEII5,RB1I5
RB2I5,RB1I5
ETE6,RB1I5, RB2I5, AUTI5, STRI5,IMGI5, PIAI5, IEII5, ELII5, SECI5 
#R
IXVIR5,AGRR5
PRJR5,IXVR5
PRJR5,AGRR5
PRJR5,SECR5
ETE6 IXVR5, AGRR5, SECR5, PRJR5 
